,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,"Il a plusieurs types de tournois officiels, comme par exemple : Roland Garros, Wimbledon...","Il a plusieurs types de tournois officiels, comme les Open...",X,X,X,"La saison de la terre battue commence au milieu de l’années correspondant à l’Été au Nord. Le principal tournoi est le grand chelem de France, Roland Garros. Rafael Nadal est le plus grand champion du tournoi, l’ayant gagné 9 des 11 dernières éditions.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,"Il existe trois diferents types de terrains different. Ceux en terre, en ciment ou encore en herbe. ","A part le tennis, il existe plusieurs variantes comme le tennis de table mais ces dernieres ne sont pas de ma spécialité.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Les 4 grand chelem sont : Australia Open - Roland Garros - Wimbledon - US Open
,Plusieurs grands joueurs sont réputés pour être des spécialistes dans un certain type de terrain. Par exemple Nadal en terre battue. ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,Les medailles au tennis viennent des Jeux Olympiques. Generalement les prix sont des trophes.,Les medailles au tennis viennent des Jeux Olympiques. Generalement les prix sont des trophes.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,Le trophe est la plupart du temps le prix reserve au gagnant du tournoi. Le deuxieme lui gagne un plat.,Le trophe est la plupart du temps le prix reserve au gagnant du tournoi. Le deuxieme lui gagne un plat.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,Le trophe est la plupart du temps le prix reserve au gagnant du tournoi. Le deuxieme lui gagne un plat.,Le trophe est la plupart du temps le prix reserve au gagnant du tournoi. Le deuxieme lui gagne un plat.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,Actuellement le premier joueur dans le classement mondial est le serbe Novak Djokovic de 28 ans.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,"La terre battue est un type de terrain utilisé dans plusieurs tournois comme Roland Garros. C'est une surface dite lente, tres sensible aux effets.",X,X,X,X,X,"La terre battue est un type de terrain utilisé dans plusieurs tournois comme Roland Garros. C'est une surface dite lente, tres sensible aux effets.",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,Le ciment est type de surface. Il est le plus rapide car il n'amortie pas les rebonds des balles leur laissant leur vitesse.,X,X,X,X,X,X,Le ciment est type de surface. Il est le plus rapide car il n'amortie pas les rebonds des balles leur laissant leur vitesse.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,Le gazon ou herbe est un type de terrain de tennis. C'est une surface dite rapide car dessus les rebond des balles sont bas. Aujourd'hui seul le tournoi de Wimbledon l'utilise encore.,X,X,X,X,X,X,X,Le gazon ou herbe est un type de terrain de tennis. C'est une surface dite rapide car dessus les rebond des balles sont bas. Aujourd'hui seul le tournoi de Wimbledon l'utilise encore.,Le gazon ou herbe est un type de terrain de tennis. C'est une surface dite rapide car dessus les rebond des balles sont bas. Aujourd'hui seul le tournoi de Wimbledon l'utilise encore.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,Le gazon ou herbe est un type de terrain de tennis. C'est une surface dite rapide car dessus les rebond des balles sont bas. Aujourd'hui seul le tournoi de Wimbledon l'utilise encore.,X,X,X,X,X,X,X,Le gazon ou herbe est un type de terrain de tennis. C'est une surface dite rapide car dessus les rebond des balles sont bas. Aujourd'hui seul le tournoi de Wimbledon l'utilise encore.,Le gazon ou herbe est un type de terrain de tennis. C'est une surface dite rapide car dessus les rebond des balles sont bas. Aujourd'hui seul le tournoi de Wimbledon l'utilise encore.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,La raquette est l'objet utilise pour frapper la balle.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,La balle est l'objet envoye de l'autre cote du terrain par le joueur.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,Le filet fait partie des elements necessaires pour jouer au tennis. Il separe le terrain formant en deux formant une barriere d'a peu pres 1 metre de hauteur.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"Roger Federer - Joueur de 34 ans suisse, actuel n°3, est considéré un des meilleurs joueurs de tous les temps. Il a gagné 17 grand Chelem, Roland Garros seulement une fois. Spécialisé dans les terrains plus rapides comme le ciment et l’herbe il a réussi à dominer le sport dans les deux terrains pendant plusieurs années.",X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Novak Djokovic - Joueur de 28 ans d’origine serbe est l’actuel n°1 du classement. Considéré un athlète très versatile le serbe a gagné 11 grand Chelem mais jamais celui de France.,,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"Andy Murray - Joueur de 29 ans né en Ecosse est l’actuel n°2 du classement. Avec un style de jeux lent et défensif il a reussi a gagner 2 grand Chelem et a participé de nombreuses finales. Un joueur qui n’a pas les chiffres de Federer ou Nadal mais est toujours présent, principalement ces dernières années quand sa carrière est à son apogée.",X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Les 4 grand chelem sont : Australia Open - Roland Garros - Wimbledon - US Open